name,inserted_value,name_normalized,match_status,mapping_type,is_default_new_ward,old_ward,old_district,old_province,old_ward_code,old_district_code,old_province_code,old_full_address,new_ward,new_province,new_ward_code,new_province_code,new_full_address,match_note
Phường Quảng Đông,9087,Phường Quảng Đông,MAPPED,merged,TRUE,Phường Quảng Đông,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,16459,380,38,"Phường Quảng Đông, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Quảng Phú,Tỉnh Thanh Hóa,16522,38,"Phường Quảng Phú, Tỉnh Thanh Hóa",
Phường Quảng Hưng,9088,Phường Quảng Hưng,MAPPED,merged,TRUE,Phường Quảng Hưng,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,14800,380,38,"Phường Quảng Hưng, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Quảng Phú,Tỉnh Thanh Hóa,16522,38,"Phường Quảng Phú, Tỉnh Thanh Hóa",
Phường Quảng Phú,9089,Phường Quảng Phú,MAPPED,merged,TRUE,Phường Quảng Phú,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,16522,380,38,"Phường Quảng Phú, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Quảng Phú,Tỉnh Thanh Hóa,16522,38,"Phường Quảng Phú, Tỉnh Thanh Hóa",
Phường Quảng Tâm,9090,Phường Quảng Tâm,MAPPED,merged,TRUE,Phường Quảng Tâm,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,16525,380,38,"Phường Quảng Tâm, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Quảng Phú,Tỉnh Thanh Hóa,16522,38,"Phường Quảng Phú, Tỉnh Thanh Hóa",
Phường Quảng Thắng,9091,Phường Quảng Thắng,MAPPED,merged,TRUE,Phường Quảng Thắng,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,14803,380,38,"Phường Quảng Thắng, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Đông Quang,Tỉnh Thanh Hóa,16417,38,"Phường Đông Quang, Tỉnh Thanh Hóa",
Phường Quảng Thành,9092,Phường Quảng Thành,MAPPED,merged,TRUE,Phường Quảng Thành,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,14806,380,38,"Phường Quảng Thành, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Quảng Phú,Tỉnh Thanh Hóa,16522,38,"Phường Quảng Phú, Tỉnh Thanh Hóa",
Phường Quảng Thịnh,9093,Phường Quảng Thịnh,MAPPED,merged,TRUE,Phường Quảng Thịnh,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,16441,380,38,"Phường Quảng Thịnh, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Quảng Phú,Tỉnh Thanh Hóa,16522,38,"Phường Quảng Phú, Tỉnh Thanh Hóa",
Phường Tân Sơn,9094,Phường Tân Sơn,MAPPED,merged,TRUE,Phường Tân Sơn,Thị xã Kim Bảng,Tỉnh Hà Nam,13411,350,35,"Phường Tân Sơn, Thị xã Kim Bảng, Tỉnh Hà Nam",Phường Nguyễn Úy,Tỉnh Ninh Bình,13396,37,"Phường Nguyễn Úy, Tỉnh Ninh Bình",
Phường Tào Xuyên,9095,Phường Tào Xuyên,MAPPED,merged,TRUE,Phường Tào Xuyên,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,15913,380,38,"Phường Tào Xuyên, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Nguyệt Viên,Tỉnh Thanh Hóa,15925,38,"Phường Nguyệt Viên, Tỉnh Thanh Hóa",
Phường Thiệu Dương,9096,Phường Thiệu Dương,MAPPED,merged,TRUE,Phường Thiệu Dương,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,15859,380,38,"Phường Thiệu Dương, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Hàm Rồng,Tỉnh Thanh Hóa,14758,38,"Phường Hàm Rồng, Tỉnh Thanh Hóa",
Phường Thiệu Khánh,9097,Phường Thiệu Khánh,MAPPED,merged,TRUE,Phường Thiệu Khánh,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,15856,380,38,"Phường Thiệu Khánh, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Đông Tiến,Tỉnh Thanh Hóa,15853,38,"Phường Đông Tiến, Tỉnh Thanh Hóa",
Phường Trường Thi,9098,Phường Trường Thi,MAPPED,merged,TRUE,Phường Trường Thi,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,14764,380,38,"Phường Trường Thi, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Hạc Thành,Tỉnh Thanh Hóa,14797,38,"Phường Hạc Thành, Tỉnh Thanh Hóa",
Xã Đông Vinh,9099,Xã Đông Vinh,MAPPED,merged,TRUE,Xã Đông Vinh,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,16429,380,38,"Xã Đông Vinh, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Đông Quang,Tỉnh Thanh Hóa,16417,38,"Phường Đông Quang, Tỉnh Thanh Hóa",
Xã Hoằng Đại,9100,Xã Hoằng Đại,NOT_FOUND,,,,,,,,,,,,,,,Không có trong danh mục xã cũ (có thể đã sáp nhập trước 01/07/2025)
Xã Hoằng Quang,9101,Xã Hoằng Quang,NOT_FOUND,,,,,,,,,,,,,,,Không có trong danh mục xã cũ (có thể đã sáp nhập trước 01/07/2025)
Xã Thiệu Vân,9102,Xã Thiệu Vân,MAPPED,merged,TRUE,Xã Thiệu Vân,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,15850,380,38,"Xã Thiệu Vân, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Đông Tiến,Tỉnh Thanh Hóa,15853,38,"Phường Đông Tiến, Tỉnh Thanh Hóa",
Phường Bắc Sơn,9103,Phường Bắc Sơn,MAPPED,merged,TRUE,Phường Bắc Sơn,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14809,381,38,"Phường Bắc Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Quang Trung,Tỉnh Thanh Hóa,14818,38,"Phường Quang Trung, Tỉnh Thanh Hóa",
Phường Quảng Châu,9104,Phường Quảng Châu,MAPPED,merged,TRUE,Phường Quảng Châu,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,16531,382,38,"Phường Quảng Châu, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Sầm Sơn,Tỉnh Thanh Hóa,16531,38,"Phường Sầm Sơn, Tỉnh Thanh Hóa",
Phường Quảng Cư,9105,Phường Quảng Cư,MAPPED,merged,TRUE,Phường Quảng Cư,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,14839,382,38,"Phường Quảng Cư, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Sầm Sơn,Tỉnh Thanh Hóa,16531,38,"Phường Sầm Sơn, Tỉnh Thanh Hóa",
Phường Quảng Thọ,9106,Phường Quảng Thọ,MAPPED,merged,TRUE,Phường Quảng Thọ,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,16528,382,38,"Phường Quảng Thọ, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Sầm Sơn,Tỉnh Thanh Hóa,16531,38,"Phường Sầm Sơn, Tỉnh Thanh Hóa",
Phường Quảng Tiến,9107,Phường Quảng Tiến,MAPPED,merged,TRUE,Phường Quảng Tiến,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,14842,382,38,"Phường Quảng Tiến, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Sầm Sơn,Tỉnh Thanh Hóa,16531,38,"Phường Sầm Sơn, Tỉnh Thanh Hóa",
Phường Quảng Vinh,9108,Phường Quảng Vinh,MAPPED,merged,TRUE,Phường Quảng Vinh,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,16534,382,38,"Phường Quảng Vinh, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Nam Sầm Sơn,Tỉnh Thanh Hóa,16516,38,"Phường Nam Sầm Sơn, Tỉnh Thanh Hóa",
Phường Trung Sơn,9109,Phường Trung Sơn,MAPPED,merged,TRUE,Phường Trung Sơn,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,14830,382,38,"Phường Trung Sơn, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Sầm Sơn,Tỉnh Thanh Hóa,16531,38,"Phường Sầm Sơn, Tỉnh Thanh Hóa",
Phường Trường Sơn,9110,Phường Trường Sơn,MAPPED,merged,TRUE,Phường Trường Sơn,Thành phố Sầm Sơn,Tỉnh Thanh Hóa,14836,382,38,"Phường Trường Sơn, Thành phố Sầm Sơn, Tỉnh Thanh Hóa",Phường Sầm Sơn,Tỉnh Thanh Hóa,16531,38,"Phường Sầm Sơn, Tỉnh Thanh Hóa",
